image,sigma,method,psnr,ssim
T1_axial_080.npy,0.15,Noisy,16.553042123611206,0.3360446095466614
T1_axial_080.npy,0.15,DnCNN,27.46859160956301,0.8238281011581421
T1_axial_080.npy,0.15,RicianNet,26.983689050318187,0.8052708506584167
T1_axial_080.npy,0.15,Attention U-Net,26.530788369642977,0.7895575165748596
T1_axial_085.npy,0.15,Noisy,16.51885417919918,0.3332497179508209
T1_axial_085.npy,0.15,DnCNN,27.072796523359575,0.8007017374038696
T1_axial_085.npy,0.15,RicianNet,26.711493583052928,0.7881203293800354
T1_axial_085.npy,0.15,Attention U-Net,26.13511140698791,0.775223433971405
T1_axial_091.npy,0.15,Noisy,16.647257927019844,0.33376428484916687
T1_axial_091.npy,0.15,DnCNN,26.380157444286173,0.7799150347709656
T1_axial_091.npy,0.15,RicianNet,26.348922913448895,0.7725241780281067
T1_axial_091.npy,0.15,Attention U-Net,25.922558416789414,0.7660900354385376
T1_axial_092.npy,0.15,Noisy,16.66077801839648,0.35080021619796753
T1_axial_092.npy,0.15,DnCNN,26.65408141126726,0.7959945797920227
T1_axial_092.npy,0.15,RicianNet,26.325860511898632,0.7820848226547241
T1_axial_092.npy,0.15,Attention U-Net,26.111778859536226,0.7771786451339722
T1_axial_098.npy,0.15,Noisy,16.492304019784886,0.34752801060676575
T1_axial_098.npy,0.15,DnCNN,27.185873201543412,0.8186085820198059
T1_axial_098.npy,0.15,RicianNet,26.715636389651017,0.8032201528549194
T1_axial_098.npy,0.15,Attention U-Net,26.37485648649225,0.7919890284538269
T1_axial_102.npy,0.15,Noisy,16.54394960629343,0.3317742347717285
T1_axial_102.npy,0.15,DnCNN,27.81056941452622,0.8367719054222107
T1_axial_102.npy,0.15,RicianNet,27.252560414348096,0.8231045603752136
T1_axial_102.npy,0.15,Attention U-Net,26.721193535286204,0.8086217045783997
T1_axial_106.npy,0.15,Noisy,16.63030629253135,0.3315013647079468
T1_axial_106.npy,0.15,DnCNN,27.777998283919185,0.8449777364730835
T1_axial_106.npy,0.15,RicianNet,27.136727822402534,0.8303976655006409
T1_axial_106.npy,0.15,Attention U-Net,26.637455791604477,0.8136132955551147
T1_axial_111.npy,0.15,Noisy,16.604086528817465,0.338655024766922
T1_axial_111.npy,0.15,DnCNN,27.614015191752657,0.8488894701004028
T1_axial_111.npy,0.15,RicianNet,27.0288641073218,0.8332420587539673
T1_axial_111.npy,0.15,Attention U-Net,26.644616893042475,0.820539116859436
T1_axial_112.npy,0.15,Noisy,16.664247467167716,0.3394824266433716
T1_axial_112.npy,0.15,DnCNN,27.721893630353556,0.8529743552207947
T1_axial_112.npy,0.15,RicianNet,27.290944013376077,0.834231436252594
T1_axial_112.npy,0.15,Attention U-Net,26.745399545035966,0.8208869099617004
T1_axial_116.npy,0.15,Noisy,16.622885106580977,0.346421480178833
T1_axial_116.npy,0.15,DnCNN,27.553677091593208,0.8497014045715332
T1_axial_116.npy,0.15,RicianNet,27.177950994217678,0.8342245221138
T1_axial_116.npy,0.15,Attention U-Net,26.717905410913936,0.822441816329956
T1_axial_117.npy,0.15,Noisy,16.679321010523886,0.34908315539360046
T1_axial_117.npy,0.15,DnCNN,27.828934806653752,0.8605290055274963
T1_axial_117.npy,0.15,RicianNet,27.173105498777748,0.8375988006591797
T1_axial_117.npy,0.15,Attention U-Net,26.711384515343866,0.8255064487457275
T1_axial_119.npy,0.15,Noisy,16.684952509402766,0.3441441059112549
T1_axial_119.npy,0.15,DnCNN,27.713653582256185,0.8447885513305664
T1_axial_119.npy,0.15,RicianNet,27.17794861829696,0.8286622166633606
T1_axial_119.npy,0.15,Attention U-Net,26.618747077911596,0.8102213740348816
T1_axial_124.npy,0.15,Noisy,16.61833257279927,0.35378265380859375
T1_axial_124.npy,0.15,DnCNN,27.740884998073433,0.8599546551704407
T1_axial_124.npy,0.15,RicianNet,27.19131417873454,0.8390906453132629
T1_axial_124.npy,0.15,Attention U-Net,26.573932815123527,0.8233562707901001
T1_axial_126.npy,0.15,Noisy,16.652383890911604,0.35744449496269226
T1_axial_126.npy,0.15,DnCNN,27.511045839018372,0.8516965508460999
T1_axial_126.npy,0.15,RicianNet,27.18129256088001,0.8380452990531921
T1_axial_126.npy,0.15,Attention U-Net,26.498903057901803,0.8210766911506653
T1_axial_137.npy,0.15,Noisy,16.55513378519708,0.3819219768047333
T1_axial_137.npy,0.15,DnCNN,27.127450921884964,0.8408733606338501
T1_axial_137.npy,0.15,RicianNet,26.605670027339702,0.8199440836906433
T1_axial_137.npy,0.15,Attention U-Net,26.09657223946318,0.8089168071746826
T1_axial_138.npy,0.15,Noisy,16.59913366940752,0.3865234851837158
T1_axial_138.npy,0.15,DnCNN,27.357786728862745,0.8461046814918518
T1_axial_138.npy,0.15,RicianNet,26.78342765515076,0.825017511844635
T1_axial_138.npy,0.15,Attention U-Net,26.434979849566634,0.8149866461753845
T1_axial_149.npy,0.15,Noisy,16.593966747437168,0.3950173854827881
T1_axial_149.npy,0.15,DnCNN,27.476037589088797,0.8569619059562683
T1_axial_149.npy,0.15,RicianNet,26.855817777138917,0.8298476338386536
T1_axial_149.npy,0.15,Attention U-Net,26.858342251612246,0.8373963236808777
T1_axial_152.npy,0.15,Noisy,16.561680164179982,0.3842799961566925
T1_axial_152.npy,0.15,DnCNN,27.680895975408202,0.8489477634429932
T1_axial_152.npy,0.15,RicianNet,27.156659576902975,0.8269414901733398
T1_axial_152.npy,0.15,Attention U-Net,26.94761622941843,0.8283703923225403
T1_axial_153.npy,0.15,Noisy,16.54886364732726,0.38207054138183594
T1_axial_153.npy,0.15,DnCNN,27.32750254361077,0.835784375667572
T1_axial_153.npy,0.15,RicianNet,27.016324001889686,0.8246715664863586
T1_axial_153.npy,0.15,Attention U-Net,26.887091544178546,0.8242478370666504
T1_axial_157.npy,0.15,Noisy,16.216259547641034,0.3491627275943756
T1_axial_157.npy,0.15,DnCNN,27.676946706347234,0.8433930277824402
T1_axial_157.npy,0.15,RicianNet,27.325668942036042,0.8250488042831421
T1_axial_157.npy,0.15,Attention U-Net,27.12137763240387,0.8226731419563293
T1_axial_159.npy,0.15,Noisy,16.29875294424135,0.3424779772758484
T1_axial_159.npy,0.15,DnCNN,28.167300983920406,0.8486611843109131
T1_axial_159.npy,0.15,RicianNet,27.600806384687328,0.82647705078125
T1_axial_159.npy,0.15,Attention U-Net,27.408456600686716,0.8235485553741455
T1_axial_160.npy,0.15,Noisy,16.29833554252405,0.3399166166782379
T1_axial_160.npy,0.15,DnCNN,28.2821311418037,0.8516839146614075
T1_axial_160.npy,0.15,RicianNet,27.840474918871273,0.8351723551750183
T1_axial_160.npy,0.15,Attention U-Net,27.615875705632995,0.8286513090133667
T1_axial_161.npy,0.15,Noisy,16.285606482298974,0.3407678008079529
T1_axial_161.npy,0.15,DnCNN,28.216336406372164,0.8654983639717102
T1_axial_161.npy,0.15,RicianNet,27.729019900680974,0.845495343208313
T1_axial_161.npy,0.15,Attention U-Net,27.255651093293704,0.816615104675293
T1_axial_166.npy,0.15,Noisy,16.915341033888403,0.32847118377685547
T1_axial_166.npy,0.15,DnCNN,27.821556487896867,0.8508685827255249
T1_axial_166.npy,0.15,RicianNet,27.779596551886332,0.8350415229797363
T1_axial_166.npy,0.15,Attention U-Net,27.383059392274234,0.820719301700592
T1_axial_173.npy,0.15,Noisy,16.846566567272106,0.3047023117542267
T1_axial_173.npy,0.15,DnCNN,28.034258447044177,0.8473435640335083
T1_axial_173.npy,0.15,RicianNet,28.27829058624897,0.8509331941604614
T1_axial_173.npy,0.15,Attention U-Net,27.77228758604755,0.8315730690956116
T1_coronal_011.npy,0.15,Noisy,16.737494419580027,0.212703675031662
T1_coronal_011.npy,0.15,DnCNN,29.61737480302764,0.8432203531265259
T1_coronal_011.npy,0.15,RicianNet,29.69473828182514,0.8501574993133545
T1_coronal_011.npy,0.15,Attention U-Net,29.649575232346592,0.8332344889640808
T1_coronal_020.npy,0.15,Noisy,16.364820583787044,0.2858404219150543
T1_coronal_020.npy,0.15,DnCNN,27.725217688197507,0.8118212223052979
T1_coronal_020.npy,0.15,RicianNet,28.23329756211318,0.8137986660003662
T1_coronal_020.npy,0.15,Attention U-Net,27.719559779677603,0.7951985001564026
T1_coronal_031.npy,0.15,Noisy,16.283154925094493,0.3517836034297943
T1_coronal_031.npy,0.15,DnCNN,28.005419044389694,0.8281863331794739
T1_coronal_031.npy,0.15,RicianNet,27.687425622761737,0.8166318535804749
T1_coronal_031.npy,0.15,Attention U-Net,26.872907197417256,0.7998822331428528
T1_coronal_037.npy,0.15,Noisy,16.46909385772717,0.3693588674068451
T1_coronal_037.npy,0.15,DnCNN,28.00427222659841,0.8510438799858093
T1_coronal_037.npy,0.15,RicianNet,27.48641775609577,0.8356184363365173
T1_coronal_037.npy,0.15,Attention U-Net,26.78305787457838,0.8155398964881897
T1_coronal_040.npy,0.15,Noisy,16.515303823111463,0.3633017838001251
T1_coronal_040.npy,0.15,DnCNN,27.784593112303902,0.8438926339149475
T1_coronal_040.npy,0.15,RicianNet,27.409407655457233,0.8296278715133667
T1_coronal_040.npy,0.15,Attention U-Net,26.78824153126846,0.8175592422485352
T1_coronal_042.npy,0.15,Noisy,16.52587527960138,0.3571033775806427
T1_coronal_042.npy,0.15,DnCNN,28.1773756302604,0.847093939781189
T1_coronal_042.npy,0.15,RicianNet,27.717430136270384,0.8305003046989441
T1_coronal_042.npy,0.15,Attention U-Net,27.207615400620003,0.8177187442779541
T1_coronal_054.npy,0.15,Noisy,16.528900272295953,0.360898494720459
T1_coronal_054.npy,0.15,DnCNN,27.63674063482755,0.8387967944145203
T1_coronal_054.npy,0.15,RicianNet,27.21187401907833,0.8169453740119934
T1_coronal_054.npy,0.15,Attention U-Net,26.992113160511586,0.8184733986854553
T1_coronal_056.npy,0.15,Noisy,16.62530486201667,0.36522871255874634
T1_coronal_056.npy,0.15,DnCNN,27.80892521359123,0.8432118892669678
T1_coronal_056.npy,0.15,RicianNet,27.328270143365643,0.8201866149902344
T1_coronal_056.npy,0.15,Attention U-Net,27.14722654448943,0.8190734386444092
T1_coronal_059.npy,0.15,Noisy,16.617904091296108,0.3681018352508545
T1_coronal_059.npy,0.15,DnCNN,27.893232275726177,0.8509927988052368
T1_coronal_059.npy,0.15,RicianNet,27.228205203615236,0.8228915333747864
T1_coronal_059.npy,0.15,Attention U-Net,27.08754359813195,0.8248826265335083
T1_coronal_071.npy,0.15,Noisy,16.574543070648332,0.3581446707248688
T1_coronal_071.npy,0.15,DnCNN,27.608183372735553,0.8439976572990417
T1_coronal_071.npy,0.15,RicianNet,26.988786340533064,0.8243527412414551
T1_coronal_071.npy,0.15,Attention U-Net,26.859631044664138,0.821982204914093
T1_coronal_074.npy,0.15,Noisy,16.57555039578685,0.3616550862789154
T1_coronal_074.npy,0.15,DnCNN,28.050309223510773,0.8659336566925049
T1_coronal_074.npy,0.15,RicianNet,27.3001823830367,0.8452523946762085
T1_coronal_074.npy,0.15,Attention U-Net,27.050951152128352,0.8415036201477051
T1_coronal_081.npy,0.15,Noisy,16.5808301730713,0.36174100637435913
T1_coronal_081.npy,0.15,DnCNN,27.803972863152143,0.8586347103118896
T1_coronal_081.npy,0.15,RicianNet,27.034258882818392,0.834637463092804
T1_coronal_081.npy,0.15,Attention U-Net,26.73962425570284,0.830196738243103
T1_coronal_085.npy,0.15,Noisy,16.64525817939562,0.3729779124259949
T1_coronal_085.npy,0.15,DnCNN,27.700327760872263,0.8535314202308655
T1_coronal_085.npy,0.15,RicianNet,26.894750404060535,0.8324620127677917
T1_coronal_085.npy,0.15,Attention U-Net,26.668012265655378,0.828606128692627
T1_coronal_088.npy,0.15,Noisy,16.551052010882664,0.3610486686229706
T1_coronal_088.npy,0.15,DnCNN,27.509565046747287,0.8520365953445435
T1_coronal_088.npy,0.15,RicianNet,27.014120388746733,0.8366472125053406
T1_coronal_088.npy,0.15,Attention U-Net,26.638164936040916,0.8285479545593262
T1_coronal_092.npy,0.15,Noisy,16.440217801055226,0.35028713941574097
T1_coronal_092.npy,0.15,DnCNN,27.52209560570197,0.8489477038383484
T1_coronal_092.npy,0.15,RicianNet,26.996714934252218,0.8271348476409912
T1_coronal_092.npy,0.15,Attention U-Net,26.637406374940507,0.824588418006897
T1_coronal_094.npy,0.15,Noisy,16.464535844082576,0.3520664572715759
T1_coronal_094.npy,0.15,DnCNN,27.367083612621762,0.8405187129974365
T1_coronal_094.npy,0.15,RicianNet,26.645707864843434,0.816969096660614
T1_coronal_094.npy,0.15,Attention U-Net,26.414442785569214,0.8156542778015137
T1_coronal_098.npy,0.15,Noisy,16.452473097874556,0.3373323082923889
T1_coronal_098.npy,0.15,DnCNN,27.418740481473556,0.8384794592857361
T1_coronal_098.npy,0.15,RicianNet,26.866127927392075,0.8167802691459656
T1_coronal_098.npy,0.15,Attention U-Net,26.50581696357105,0.8094210028648376
T1_coronal_102.npy,0.15,Noisy,16.61518121433126,0.34805649518966675
T1_coronal_102.npy,0.15,DnCNN,27.71877991540345,0.8499586582183838
T1_coronal_102.npy,0.15,RicianNet,27.174066516557414,0.8352347612380981
T1_coronal_102.npy,0.15,Attention U-Net,26.93973670204564,0.8285261988639832
T1_coronal_103.npy,0.15,Noisy,16.52175516783143,0.34076187014579773
T1_coronal_103.npy,0.15,DnCNN,27.617652885822693,0.8359445929527283
T1_coronal_103.npy,0.15,RicianNet,26.94097538840515,0.8164989352226257
T1_coronal_103.npy,0.15,Attention U-Net,26.749693957987052,0.8158233165740967
T1_coronal_106.npy,0.15,Noisy,16.539550497493494,0.34889256954193115
T1_coronal_106.npy,0.15,DnCNN,27.823066737329984,0.8535701632499695
T1_coronal_106.npy,0.15,RicianNet,27.293322520136783,0.8345836997032166
T1_coronal_106.npy,0.15,Attention U-Net,26.80928463096138,0.8288869261741638
T1_coronal_127.npy,0.15,Noisy,16.628377231276538,0.3876282274723053
T1_coronal_127.npy,0.15,DnCNN,27.046384804905685,0.8583378791809082
T1_coronal_127.npy,0.15,RicianNet,26.199050378489975,0.8381153345108032
T1_coronal_127.npy,0.15,Attention U-Net,25.60642636660123,0.8215008974075317
T1_coronal_133.npy,0.15,Noisy,16.673284260706474,0.3888120949268341
T1_coronal_133.npy,0.15,DnCNN,27.21366684466563,0.8571773767471313
T1_coronal_133.npy,0.15,RicianNet,26.453395303065026,0.8377673029899597
T1_coronal_133.npy,0.15,Attention U-Net,25.668861981625994,0.8112208247184753
T1_coronal_134.npy,0.15,Noisy,16.68324928939242,0.3871263265609741
T1_coronal_134.npy,0.15,DnCNN,27.39861528731224,0.8629154562950134
T1_coronal_134.npy,0.15,RicianNet,26.616893948246858,0.8369851112365723
T1_coronal_134.npy,0.15,Attention U-Net,25.723998840653124,0.8087490797042847
T1_coronal_137.npy,0.15,Noisy,16.837778192105365,0.39794594049453735
T1_coronal_137.npy,0.15,DnCNN,27.283941544809394,0.8656708002090454
T1_coronal_137.npy,0.15,RicianNet,26.5691289342298,0.8432890772819519
T1_coronal_137.npy,0.15,Attention U-Net,26.30426166048892,0.8344460129737854
T1_coronal_138.npy,0.15,Noisy,16.679964994182793,0.3909479081630707
T1_coronal_138.npy,0.15,DnCNN,27.01525384099639,0.8524425625801086
T1_coronal_138.npy,0.15,RicianNet,26.19514796846019,0.8311643004417419
T1_coronal_138.npy,0.15,Attention U-Net,25.990218116471603,0.826183021068573
T1_coronal_145.npy,0.15,Noisy,16.586118588318225,0.4037305414676666
T1_coronal_145.npy,0.15,DnCNN,27.058687993109555,0.8567768931388855
T1_coronal_145.npy,0.15,RicianNet,26.522339793148596,0.8402559161186218
T1_coronal_145.npy,0.15,Attention U-Net,26.05266909189341,0.830775260925293
T1_coronal_149.npy,0.15,Noisy,16.702791576200667,0.42309319972991943
T1_coronal_149.npy,0.15,DnCNN,27.069191585514574,0.8686514496803284
T1_coronal_149.npy,0.15,RicianNet,26.558279393389938,0.8536734580993652
T1_coronal_149.npy,0.15,Attention U-Net,26.07241120888951,0.8422319293022156
T1_coronal_153.npy,0.15,Noisy,16.617673902052335,0.4330536425113678
T1_coronal_153.npy,0.15,DnCNN,26.95983720755381,0.875080406665802
T1_coronal_153.npy,0.15,RicianNet,26.304193009893563,0.8547549843788147
T1_coronal_153.npy,0.15,Attention U-Net,25.695432173299075,0.848559558391571
T1_coronal_154.npy,0.15,Noisy,16.637202373985378,0.43753373622894287
T1_coronal_154.npy,0.15,DnCNN,26.7345345018183,0.8684073686599731
T1_coronal_154.npy,0.15,RicianNet,26.049505863323937,0.8467773795127869
T1_coronal_154.npy,0.15,Attention U-Net,25.54596945056829,0.8406218886375427
T1_coronal_155.npy,0.15,Noisy,16.80235167616662,0.45212170481681824
T1_coronal_155.npy,0.15,DnCNN,26.957926556321794,0.8843936324119568
T1_coronal_155.npy,0.15,RicianNet,26.24263559248902,0.8646048307418823
T1_coronal_155.npy,0.15,Attention U-Net,25.863070840332533,0.8620910048484802
T1_coronal_159.npy,0.15,Noisy,16.741250704250703,0.45132148265838623
T1_coronal_159.npy,0.15,DnCNN,27.01050081468797,0.888575553894043
T1_coronal_159.npy,0.15,RicianNet,26.320398714898175,0.8631765842437744
T1_coronal_159.npy,0.15,Attention U-Net,25.618915930055486,0.8541765809059143
T1_coronal_171.npy,0.15,Noisy,16.723517675237296,0.47485509514808655
T1_coronal_171.npy,0.15,DnCNN,25.9099164364474,0.8616966009140015
T1_coronal_171.npy,0.15,RicianNet,25.235563497027883,0.8390199542045593
T1_coronal_171.npy,0.15,Attention U-Net,25.1873063683543,0.8386834859848022
T1_coronal_173.npy,0.15,Noisy,16.775258553475446,0.4949171543121338
T1_coronal_173.npy,0.15,DnCNN,25.88311815109233,0.8614774346351624
T1_coronal_173.npy,0.15,RicianNet,25.48789328773486,0.8480919003486633
T1_coronal_173.npy,0.15,Attention U-Net,25.092627325144665,0.8474213480949402
T1_coronal_178.npy,0.15,Noisy,16.676222562550862,0.48850539326667786
T1_coronal_178.npy,0.15,DnCNN,26.171861723548755,0.8631773591041565
T1_coronal_178.npy,0.15,RicianNet,25.85270567018036,0.849642813205719
T1_coronal_178.npy,0.15,Attention U-Net,25.324568420515654,0.8477742075920105
T1_coronal_186.npy,0.15,Noisy,16.70835087535496,0.4641660153865814
T1_coronal_186.npy,0.15,DnCNN,25.866271292286292,0.8488402962684631
T1_coronal_186.npy,0.15,RicianNet,25.54423623143368,0.8319784998893738
T1_coronal_186.npy,0.15,Attention U-Net,25.25324627003498,0.830804705619812
T1_coronal_194.npy,0.15,Noisy,16.39687679543964,0.421938419342041
T1_coronal_194.npy,0.15,DnCNN,26.438394936570084,0.8393481969833374
T1_coronal_194.npy,0.15,RicianNet,25.88241089270243,0.8029394745826721
T1_coronal_194.npy,0.15,Attention U-Net,25.5248442974491,0.8023486733436584
T1_coronal_196.npy,0.15,Noisy,16.425482571259973,0.4111880660057068
T1_coronal_196.npy,0.15,DnCNN,26.453826983823078,0.8081523180007935
T1_coronal_196.npy,0.15,RicianNet,26.161838759063265,0.7764970660209656
T1_coronal_196.npy,0.15,Attention U-Net,25.51451181448602,0.768130898475647
T1_coronal_199.npy,0.15,Noisy,16.14812283416429,0.37904825806617737
T1_coronal_199.npy,0.15,DnCNN,25.421186014358913,0.7841819524765015
T1_coronal_199.npy,0.15,RicianNet,26.254653960118794,0.7909939289093018
T1_coronal_199.npy,0.15,Attention U-Net,26.03270318027022,0.7715615034103394
T1_coronal_205.npy,0.15,Noisy,16.572857610381973,0.39077016711235046
T1_coronal_205.npy,0.15,DnCNN,25.47040813895324,0.7898827195167542
T1_coronal_205.npy,0.15,RicianNet,26.63041957985516,0.8271741271018982
T1_coronal_205.npy,0.15,Attention U-Net,26.804877619279708,0.8158002495765686
T1_coronal_207.npy,0.15,Noisy,16.47892935973826,0.3816748261451721
T1_coronal_207.npy,0.15,DnCNN,26.829878509720835,0.8497982025146484
T1_coronal_207.npy,0.15,RicianNet,27.194899526602917,0.868860125541687
T1_coronal_207.npy,0.15,Attention U-Net,26.57197195849851,0.8402632474899292
T1_coronal_209.npy,0.15,Noisy,16.816315919537075,0.324056476354599
T1_coronal_209.npy,0.15,DnCNN,27.351818376241447,0.8389129042625427
T1_coronal_209.npy,0.15,RicianNet,27.679605624126687,0.8467200994491577
T1_coronal_209.npy,0.15,Attention U-Net,27.45241649799386,0.8328796625137329
T1_sagittal_001.npy,0.15,Noisy,16.659182080124154,0.37046992778778076
T1_sagittal_001.npy,0.15,DnCNN,26.634369727853784,0.8043276071548462
T1_sagittal_001.npy,0.15,RicianNet,26.47597211136147,0.8017600178718567
T1_sagittal_001.npy,0.15,Attention U-Net,25.98066377395719,0.7820947170257568
T1_sagittal_005.npy,0.15,Noisy,16.564461377784408,0.3492167592048645
T1_sagittal_005.npy,0.15,DnCNN,26.614898297841766,0.7923046946525574
T1_sagittal_005.npy,0.15,RicianNet,26.488072828939483,0.7872911095619202
T1_sagittal_005.npy,0.15,Attention U-Net,25.86661949635682,0.7674689888954163
T1_sagittal_006.npy,0.15,Noisy,16.602283759209268,0.34364789724349976
T1_sagittal_006.npy,0.15,DnCNN,26.634755482394823,0.786516010761261
T1_sagittal_006.npy,0.15,RicianNet,26.630953475674893,0.7773357033729553
T1_sagittal_006.npy,0.15,Attention U-Net,25.73955592850357,0.749652624130249
T1_sagittal_008.npy,0.15,Noisy,16.614158349656268,0.33678096532821655
T1_sagittal_008.npy,0.15,DnCNN,26.10303844148052,0.7667927742004395
T1_sagittal_008.npy,0.15,RicianNet,26.358358367421744,0.7621895670890808
T1_sagittal_008.npy,0.15,Attention U-Net,25.69882875507982,0.741054117679596
T1_sagittal_017.npy,0.15,Noisy,16.557530354429336,0.37288451194763184
T1_sagittal_017.npy,0.15,DnCNN,26.333364709505478,0.7946768403053284
T1_sagittal_017.npy,0.15,RicianNet,25.915177088168853,0.7782467007637024
T1_sagittal_017.npy,0.15,Attention U-Net,25.790932931128175,0.7781628370285034
T1_sagittal_018.npy,0.15,Noisy,16.53912825986454,0.3734404444694519
T1_sagittal_018.npy,0.15,DnCNN,26.18958391860599,0.7920249104499817
T1_sagittal_018.npy,0.15,RicianNet,25.840634130723732,0.7731372117996216
T1_sagittal_018.npy,0.15,Attention U-Net,25.52783051336867,0.7751486301422119
T1_sagittal_029.npy,0.15,Noisy,16.413073582567762,0.37436097860336304
T1_sagittal_029.npy,0.15,DnCNN,26.58997808887317,0.8265447616577148
T1_sagittal_029.npy,0.15,RicianNet,26.274902872338487,0.8062766194343567
T1_sagittal_029.npy,0.15,Attention U-Net,25.917723299766884,0.799633800983429
T1_sagittal_031.npy,0.15,Noisy,16.441244707358777,0.3805112838745117
T1_sagittal_031.npy,0.15,DnCNN,26.536046403065875,0.8219265341758728
T1_sagittal_031.npy,0.15,RicianNet,26.199172174600733,0.804851770401001
T1_sagittal_031.npy,0.15,Attention U-Net,25.91412002758869,0.7954230308532715
T1_sagittal_037.npy,0.15,Noisy,16.321788338939026,0.3800242245197296
T1_sagittal_037.npy,0.15,DnCNN,26.634579372810244,0.8270437717437744
T1_sagittal_037.npy,0.15,RicianNet,26.311876951812074,0.8110562562942505
T1_sagittal_037.npy,0.15,Attention U-Net,25.73622509476504,0.8003771305084229
T1_sagittal_041.npy,0.15,Noisy,16.443052452701114,0.38497263193130493
T1_sagittal_041.npy,0.15,DnCNN,26.54979001256787,0.8269515633583069
T1_sagittal_041.npy,0.15,RicianNet,26.328275518750715,0.8186796307563782
T1_sagittal_041.npy,0.15,Attention U-Net,25.661732317249445,0.8019461035728455
T1_sagittal_049.npy,0.15,Noisy,16.54372366856932,0.35509181022644043
T1_sagittal_049.npy,0.15,DnCNN,27.538331462127058,0.8389028310775757
T1_sagittal_049.npy,0.15,RicianNet,27.033762414225727,0.8198409080505371
T1_sagittal_049.npy,0.15,Attention U-Net,26.184776294561797,0.796100914478302
T1_sagittal_051.npy,0.15,Noisy,16.48047335320698,0.35002103447914124
T1_sagittal_051.npy,0.15,DnCNN,27.335562135010516,0.8213275671005249
T1_sagittal_051.npy,0.15,RicianNet,26.8866343278519,0.8078287839889526
T1_sagittal_051.npy,0.15,Attention U-Net,26.228349300112967,0.7891711592674255
T1_sagittal_052.npy,0.15,Noisy,16.523408192892965,0.3560597598552704
T1_sagittal_052.npy,0.15,DnCNN,27.537514641410674,0.8341422080993652
T1_sagittal_052.npy,0.15,RicianNet,27.10621263633934,0.8188467025756836
T1_sagittal_052.npy,0.15,Attention U-Net,26.270888461809754,0.7952807545661926
T1_sagittal_066.npy,0.15,Noisy,16.552599553693256,0.3586767911911011
T1_sagittal_066.npy,0.15,DnCNN,27.738799243177844,0.8565352559089661
T1_sagittal_066.npy,0.15,RicianNet,27.396380242919847,0.841931164264679
T1_sagittal_066.npy,0.15,Attention U-Net,26.76552250349989,0.8306595683097839
T1_sagittal_070.npy,0.15,Noisy,16.583177615826273,0.3580704927444458
T1_sagittal_070.npy,0.15,DnCNN,27.732339221659213,0.8559514284133911
T1_sagittal_070.npy,0.15,RicianNet,27.360278947772496,0.8421685695648193
T1_sagittal_070.npy,0.15,Attention U-Net,26.743748132545264,0.8291295766830444
T1_sagittal_077.npy,0.15,Noisy,16.584893616602802,0.3719881474971771
T1_sagittal_077.npy,0.15,DnCNN,27.669169480528566,0.8634529709815979
T1_sagittal_077.npy,0.15,RicianNet,27.099907322792212,0.8448641300201416
T1_sagittal_077.npy,0.15,Attention U-Net,26.66230421189495,0.8379291892051697
T1_sagittal_079.npy,0.15,Noisy,16.63138995052033,0.3784680664539337
T1_sagittal_079.npy,0.15,DnCNN,27.86849204252752,0.8680562376976013
T1_sagittal_079.npy,0.15,RicianNet,27.284238037497502,0.851874053478241
T1_sagittal_079.npy,0.15,Attention U-Net,26.954336946449637,0.8441358208656311
T1_sagittal_082.npy,0.15,Noisy,16.549357732928122,0.36875224113464355
T1_sagittal_082.npy,0.15,DnCNN,27.513143922387023,0.8509948253631592
T1_sagittal_082.npy,0.15,RicianNet,26.929824450725466,0.8313799500465393
T1_sagittal_082.npy,0.15,Attention U-Net,26.606781347461038,0.8308286070823669
T1_sagittal_104.npy,0.15,Noisy,16.462388125525045,0.3592013716697693
T1_sagittal_104.npy,0.15,DnCNN,28.141841215048608,0.8929633498191833
T1_sagittal_104.npy,0.15,RicianNet,27.60626904481488,0.8712111711502075
T1_sagittal_104.npy,0.15,Attention U-Net,26.941061879703515,0.8608803153038025
T1_sagittal_105.npy,0.15,Noisy,16.45966648506382,0.3567335605621338
T1_sagittal_105.npy,0.15,DnCNN,28.427752582345583,0.8937442898750305
T1_sagittal_105.npy,0.15,RicianNet,27.71017811162895,0.8694266080856323
T1_sagittal_105.npy,0.15,Attention U-Net,27.04444696826707,0.8579564094543457
T1_sagittal_123.npy,0.15,Noisy,16.640691475585687,0.41301214694976807
T1_sagittal_123.npy,0.15,DnCNN,27.423432583486488,0.8694788813591003
T1_sagittal_123.npy,0.15,RicianNet,26.72712948140664,0.8516368865966797
T1_sagittal_123.npy,0.15,Attention U-Net,26.406778733769897,0.8515729904174805
T1_sagittal_125.npy,0.15,Noisy,16.689924619398226,0.4263118505477905
T1_sagittal_125.npy,0.15,DnCNN,27.403667742383607,0.8768605589866638
T1_sagittal_125.npy,0.15,RicianNet,26.59732039020366,0.8521748185157776
T1_sagittal_125.npy,0.15,Attention U-Net,26.36734821703346,0.8545769453048706
T1_sagittal_126.npy,0.15,Noisy,16.591944510568872,0.42197683453559875
T1_sagittal_126.npy,0.15,DnCNN,27.423187327303,0.8783472180366516
T1_sagittal_126.npy,0.15,RicianNet,26.64633800722928,0.8552759289741516
T1_sagittal_126.npy,0.15,Attention U-Net,26.468306415002793,0.8554002642631531
T1_sagittal_131.npy,0.15,Noisy,16.61402257942153,0.4393889307975769
