image,sigma,method,psnr,ssim
PD_coronal_043.npy,0.05,Noisy,26.182197946602685,0.7239527106285095
PD_coronal_043.npy,0.05,DnCNN,33.84084378048137,0.9493665099143982
PD_coronal_043.npy,0.05,RicianNet,30.732591262352532,0.9194662570953369
PD_coronal_043.npy,0.05,Attention U-Net,32.12157445112896,0.930467426776886
PD_coronal_059.npy,0.05,Noisy,26.233746608890293,0.7257528901100159
PD_coronal_059.npy,0.05,DnCNN,33.73217271520474,0.9498254060745239
PD_coronal_059.npy,0.05,RicianNet,30.597197876406973,0.9200597405433655
PD_coronal_059.npy,0.05,Attention U-Net,31.80643005079125,0.9261434674263
PD_coronal_076.npy,0.05,Noisy,26.142710520822845,0.699976921081543
PD_coronal_076.npy,0.05,DnCNN,33.863392138343976,0.9478539228439331
PD_coronal_076.npy,0.05,RicianNet,30.489353242476106,0.9139384627342224
PD_coronal_076.npy,0.05,Attention U-Net,31.87184386704441,0.9266785979270935
PD_coronal_080.npy,0.05,Noisy,26.184476808486195,0.7072193622589111
PD_coronal_080.npy,0.05,DnCNN,34.002077608240334,0.9506278038024902
PD_coronal_080.npy,0.05,RicianNet,30.577694463666436,0.916882336139679
PD_coronal_080.npy,0.05,Attention U-Net,31.960295259551167,0.929917573928833
PD_coronal_082.npy,0.05,Noisy,26.202710388150887,0.7085180878639221
PD_coronal_082.npy,0.05,DnCNN,34.00032932364844,0.9520204663276672
PD_coronal_082.npy,0.05,RicianNet,30.628639376274897,0.917809784412384
PD_coronal_082.npy,0.05,Attention U-Net,31.847112212429657,0.9295552968978882
PD_coronal_086.npy,0.05,Noisy,26.139727978278483,0.7098758220672607
PD_coronal_086.npy,0.05,DnCNN,33.717782666705624,0.9492718577384949
PD_coronal_086.npy,0.05,RicianNet,30.547042086674104,0.9186002016067505
PD_coronal_086.npy,0.05,Attention U-Net,31.937156540613717,0.9306929111480713
PD_coronal_087.npy,0.05,Noisy,26.216790579628192,0.7143369913101196
PD_coronal_087.npy,0.05,DnCNN,33.774250189840835,0.9510377049446106
